,NPV,Break_Even,IRR,Cust_Contb,CLV,Tot_CLV,EV,MKTSH,Margin,Teach_Req,Teach_No_Req,Signup_Init,Signup_CAGR,Ret_Init,Ret_CAGR,User_Price,Class_Buy,Class_Buy_CAGR,Class_Per,Class_Price,Sponsor_Per,Sponsor_Price,Web_Dev,Web_Maint,Content_Dev,New_Courses,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Inst_Cost,Compute,Bandwidth,Staff_Salary,Ad_State,Ad_User,Legal,Admin,Payment_Proc,Misc,Bus_Dev_A,Bus_Dev_R
283.00,101862.18,4.00,282.00,605.13,1648.79,1683896.52,5258397.70,0.03,0.90,2.90,1.10,0.0023,0.63,0.26,0.09,52.11,0.63,0.06,5.00,149.61,1.00,123460.00,52824.00,0.16,58213.00,3.00,1675.00,56.00,0.24,4659.00,10.00,0.75,14.00,13528.00,2.90,0.76,106555.00,6119.00,2.92,4628.00,6386.00,0.04,4716.00,0.32,0.09
284.00,-194499.76,4.00,283.00,328.42,679.74,736868.06,2442797.60,0.03,0.84,2.80,1.30,0.0025,0.64,0.33,0.10,51.81,0.57,0.11,2.00,166.45,1.00,111196.00,30997.00,0.17,43098.00,4.00,1695.00,49.00,0.27,5388.00,7.00,0.39,20.00,15827.00,2.22,0.70,86422.00,6363.00,6.16,4991.00,6009.00,0.05,4059.00,0.26,0.11
285.00,-557251.23,5.00,284.00,126.23,343.95,380145.36,58167.55,0.02,0.84,2.90,1.60,0.0026,0.54,0.26,0.09,52.56,0.54,0.08,2.00,147.16,1.00,78300.00,46668.00,0.16,36448.00,4.00,3683.00,44.00,0.26,4740.00,10.00,0.56,21.00,16198.00,2.33,0.72,97425.00,6388.00,10.10,4971.00,5595.00,0.05,4826.00,0.30,0.11
286.00,1271343.90,3.00,285.00,693.73,1259.65,3087036.36,17166820.37,0.05,0.87,3.80,0.90,0.0025,1.03,0.35,0.12,37.40,0.54,0.07,7.00,157.05,1.00,107075.00,55504.00,0.13,47091.00,3.00,3422.00,36.00,0.27,5161.00,13.00,0.76,16.00,15657.00,1.95,0.87,82286.00,6987.00,3.22,5258.00,5776.00,0.05,5541.00,0.21,0.10
287.00,564262.43,3.00,286.00,509.29,1532.58,3370294.54,10701554.60,0.05,0.85,2.70,1.20,0.0025,0.97,0.19,0.15,54.32,0.72,0.09,4.00,136.49,1.00,121131.00,48642.00,0.18,41684.00,5.00,1847.00,48.00,0.24,5752.00,15.00,0.46,21.00,14965.00,2.48,0.91,97246.00,7164.00,7.10,4760.00,5736.00,0.05,4932.00,0.28,0.06
288.00,753522.93,3.00,287.00,475.40,1082.35,2864872.42,12241976.09,0.06,0.86,2.80,1.40,0.0027,1.02,0.30,0.10,50.98,0.47,0.10,5.00,141.22,1.00,105011.00,58172.00,0.11,39370.00,3.00,2477.00,50.00,0.23,4901.00,12.00,0.53,20.00,14104.00,1.70,0.77,70405.00,5889.00,5.92,5744.00,6447.00,0.04,3498.00,0.33,0.11
289.00,-111971.92,4.00,288.00,381.16,1045.27,1250655.47,3641812.86,0.03,0.87,2.20,1.20,0.0023,0.77,0.30,0.05,38.01,0.46,0.09,4.00,147.17,1.00,107449.00,64784.00,0.11,39878.00,5.00,1068.00,40.00,0.29,5019.00,13.00,0.43,23.00,15009.00,2.69,0.66,89039.00,5751.00,3.69,5316.00,3983.00,0.05,5451.00,0.30,0.09
290.00,487332.15,4.00,289.00,541.81,1081.54,2134225.38,10370367.94,0.05,0.71,2.70,1.30,0.0026,0.93,0.33,0.11,52.12,0.60,0.09,6.00,172.78,1.00,65928.00,57102.00,0.14,56796.00,6.00,3472.00,60.00,0.29,5509.00,8.00,0.16,25.00,15838.00,1.93,0.62,93277.00,5824.00,6.11,4437.00,6886.00,0.05,3705.00,0.26,0.10
291.00,259240.68,4.00,290.00,343.52,1097.81,3081451.18,9093737.35,0.06,0.83,3.00,1.40,0.0026,1.01,0.23,0.08,42.44,0.46,0.09,4.00,171.93,1.00,78420.00,67274.00,0.12,32230.00,6.00,3260.00,61.00,0.24,4947.00,9.00,0.50,19.00,14155.00,2.13,0.75,97029.00,5878.00,4.90,3628.00,6364.00,0.06,5835.00,0.30,0.10
292.00,54543.76,4.00,291.00,367.90,1336.51,2668362.83,6538046.64,0.05,0.82,3.30,1.10,0.0024,0.87,0.21,0.07,40.09,0.53,0.13,4.00,132.64,1.00,111763.00,68769.00,0.13,34918.00,4.00,1921.00,48.00,0.22,4971.00,12.00,0.39,21.00,14927.00,1.96,0.82,107271.00,5216.00,6.77,5665.00,6300.00,0.05,5402.00,0.29,0.11
293.00,-360736.77,4.00,292.00,237.25,438.97,910650.51,3712741.86,0.05,0.43,3.00,1.40,0.0027,0.90,0.32,0.14,60.94,0.43,0.11,6.00,163.26,1.00,113505.00,46456.00,0.15,28626.00,4.00,2581.00,61.00,0.26,5372.00,8.00,0.37,5.00,14877.00,1.91,0.52,76516.00,5834.00,8.59,3128.00,6929.00,0.04,5550.00,0.32,0.11
294.00,331697.51,4.00,293.00,383.29,1175.38,3083320.72,9328362.01,0.05,0.78,3.20,1.50,0.0025,0.96,0.20,0.13,52.47,0.51,0.08,5.00,143.81,1.00,111953.00,43553.00,0.13,27954.00,5.00,2242.00,45.00,0.24,5114.00,5.00,0.46,26.00,13704.00,2.73,0.71,100403.00,6623.00,6.85,5566.00,6751.00,0.06,6031.00,0.26,0.12
295.00,-228195.19,4.00,294.00,428.76,876.56,549582.79,1490162.82,0.01,0.86,2.90,1.20,0.0025,0.41,0.30,0.13,48.61,0.48,0.09,3.00,143.51,1.00,129019.00,11470.00,0.09,41489.00,4.00,1725.00,51.00,0.28,5806.00,5.00,0.34,22.00,15318.00,2.53,0.87,96499.00,5794.00,5.99,4047.00,6028.00,0.06,5315.00,0.23,0.12
296.00,1442728.90,3.00,295.00,670.17,3078.70,9042664.31,20224632.95,0.06,0.78,2.50,1.70,0.0025,1.03,0.16,0.08,53.64,0.65,0.12,6.00,148.54,1.00,99640.00,24069.00,0.12,18339.00,3.00,2524.00,44.00,0.16,5064.00,15.00,0.19,23.00,15086.00,1.48,0.80,110142.00,6135.00,8.88,5399.00,6021.00,0.05,4942.00,0.18,0.10
297.00,-669226.33,9.00,296.00,21.77,63.57,85622.39,-1182249.78,0.03,0.82,3.70,1.20,0.0024,0.64,0.21,0.13,43.78,0.47,0.12,0.00,146.12,1.00,84381.00,73886.00,0.18,44773.00,4.00,3188.00,56.00,0.21,5001.00,16.00,0.56,22.00,15445.00,1.51,0.74,77768.00,5788.00,6.39,3445.00,7334.00,0.05,5213.00,0.32,0.11
298.00,-76035.57,4.00,297.00,483.98,1061.32,898679.75,3008837.71,0.02,0.89,3.20,1.50,0.0025,0.46,0.27,0.14,53.73,0.40,0.12,4.00,143.13,1.00,128418.00,46701.00,0.13,28053.00,4.00,2622.00,60.00,0.21,5262.00,8.00,0.41,29.00,14569.00,2.20,0.76,92901.00,6027.00,6.35,4778.00,7128.00,0.05,4676.00,0.18,0.11
299.00,-122870.60,4.00,298.00,472.21,1152.06,899989.90,2623493.60,0.02,0.92,3.20,1.20,0.0026,0.43,0.27,0.11,50.72,0.57,0.08,3.00,159.18,1.00,131812.00,83516.00,0.08,39886.00,3.00,1664.00,45.00,0.23,4871.00,12.00,0.53,28.00,16458.00,2.26,0.61,108994.00,5508.00,7.09,4630.00,6577.00,0.05,4436.00,0.25,0.09
300.00,-234963.92,4.00,299.00,381.99,779.89,772849.86,2470092.81,0.03,0.85,2.40,1.00,0.0023,0.73,0.29,0.14,49.34,0.53,0.09,2.00,153.27,1.00,141069.00,80883.00,0.13,67482.00,4.00,2231.00,45.00,0.22,4880.00,7.00,0.39,18.00,13698.00,3.36,0.67,88025.00,6390.00,6.66,5458.00,6315.00,0.05,5213.00,0.24,0.10
301.00,-587730.47,5.00,300.00,61.74,176.82,590302.59,852484.99,0.06,0.74,3.60,1.60,0.0025,1.05,0.23,0.11,49.94,0.47,0.10,1.00,151.89,1.00,71144.00,50735.00,0.16,54429.00,5.00,2211.00,43.00,0.27,3882.00,8.00,0.40,18.00,12969.00,1.58,0.77,101222.00,6498.00,9.07,4839.00,7161.00,0.05,4896.00,0.20,0.09
302.00,1665178.31,3.00,301.00,643.16,1752.43,6000471.90,22549192.44,0.09,0.85,3.10,0.90,0.0025,1.25,0.26,0.09,55.09,0.54,0.08,6.00,170.94,1.00,114626.00,48846.00,0.15,35949.00,6.00,1498.00,35.00,0.25,4931.00,12.00,0.61,16.00,15552.00,2.90,0.80,111309.00,6575.00,6.06,3997.00,5819.00,0.05,6176.00,0.16,0.13
303.00,1915898.29,3.00,302.00,742.12,2534.40,7223235.39,21715636.96,0.06,0.89,2.90,1.80,0.0025,0.98,0.20,0.10,58.00,0.46,0.11,7.00,152.04,1.00,122161.00,35701.00,0.18,34684.00,5.00,2448.00,43.00,0.29,4811.00,13.00,0.49,33.00,17461.00,1.97,0.73,64002.00,5170.00,5.05,5550.00,6266.00,0.05,3175.00,0.21,0.11
304.00,-49161.70,4.00,303.00,363.20,1127.58,1327355.19,3188608.73,0.03,0.87,2.70,1.00,0.0026,0.66,0.22,0.10,36.40,0.48,0.11,3.00,142.15,1.00,117937.00,48168.00,0.17,28608.00,3.00,3033.00,44.00,0.21,5052.00,13.00,0.51,28.00,14761.00,1.95,0.63,83569.00,5593.00,3.21,4648.00,6165.00,0.05,4763.00,0.26,0.11
305.00,-750430.23,9.00,304.00,-120.56,-428.36,-231136.32,-1843176.30,0.02,0.91,2.00,1.20,0.0025,0.36,0.26,0.02,54.51,0.62,0.07,0.00,150.28,1.00,69531.00,42222.00,0.14,39185.00,2.00,491.00,49.00,0.24,4723.00,7.00,0.42,14.00,16758.00,2.42,0.66,92333.00,6406.00,8.47,4369.00,6728.00,0.05,5437.00,0.28,0.10
306.00,601541.92,3.00,305.00,1190.64,3667.31,2834684.69,7925089.65,0.02,0.95,2.10,1.30,0.0024,0.52,0.23,0.09,39.89,0.64,0.15,5.00,143.31,1.00,177225.00,40306.00,0.14,47430.00,3.00,1384.00,60.00,0.32,4680.00,12.00,0.80,22.00,14619.00,2.67,0.85,92285.00,6090.00,5.56,3879.00,4492.00,0.05,4172.00,0.35,0.14
307.00,197063.46,4.00,306.00,688.50,1789.32,1905460.36,6865379.85,0.03,0.86,2.30,1.00,0.0025,0.70,0.22,0.15,49.71,0.53,0.14,7.00,132.98,1.00,88920.00,54627.00,0.10,37374.00,4.00,2090.00,52.00,0.32,4657.00,7.00,0.57,21.00,13437.00,1.85,0.85,91791.00,6101.00,5.00,3435.00,6911.00,0.04,5243.00,0.22,0.07
308.00,-340883.40,4.00,307.00,360.15,920.36,953465.78,2885899.27,0.03,0.81,2.40,1.40,0.0025,0.61,0.24,0.13,52.97,0.55,0.12,5.00,163.85,1.00,62415.00,57977.00,0.14,49517.00,4.00,3436.00,35.00,0.23,5212.00,11.00,0.42,18.00,15261.00,1.83,0.83,112903.00,5196.00,7.03,4428.00,7383.00,0.06,5251.00,0.27,0.11
309.00,-76264.38,4.00,308.00,197.71,513.83,1363006.93,4318708.12,0.05,0.82,3.80,1.20,0.0028,0.91,0.22,0.15,46.58,0.60,0.09,2.00,137.80,1.00,95604.00,55931.00,0.14,34918.00,5.00,1647.00,55.00,0.21,4520.00,9.00,0.58,24.00,14222.00,2.50,0.80,97403.00,6052.00,8.61,6557.00,6467.00,0.05,3571.00,0.27,0.07
310.00,-94032.18,4.00,309.00,428.15,919.12,960440.87,3279840.61,0.03,0.88,3.20,0.70,0.0025,0.67,0.33,0.09,46.80,0.42,0.12,3.00,172.49,1.00,143448.00,65527.00,0.18,45256.00,1.00,1819.00,45.00,0.23,4936.00,10.00,0.38,22.00,14070.00,2.36,0.90,104329.00,5793.00,5.91,5787.00,5087.00,0.05,4937.00,0.24,0.11
311.00,1397426.42,3.00,310.00,1039.10,2535.14,4085413.05,16782226.58,0.04,0.84,3.20,1.20,0.0026,0.76,0.27,0.11,47.33,0.70,0.09,8.00,151.78,1.00,106713.00,51095.00,0.15,50025.00,5.00,3055.00,41.00,0.20,5160.00,13.00,0.52,12.00,13781.00,3.09,0.91,84100.00,6790.00,9.22,5245.00,5796.00,0.04,4885.00,0.25,0.10
312.00,-647995.46,9.00,311.00,103.12,378.98,322873.16,-80620.99,0.03,0.82,1.60,1.10,0.0026,0.61,0.20,0.08,53.36,0.52,0.11,4.00,133.43,1.00,50804.00,28900.00,0.18,51882.00,5.00,1545.00,45.00,0.23,4951.00,12.00,0.39,21.00,14796.00,1.85,0.73,107262.00,5765.00,4.51,4679.00,6145.00,0.05,5216.00,0.32,0.10
313.00,502730.48,3.00,312.00,450.13,985.97,2246862.18,10010269.66,0.05,0.87,3.30,1.50,0.0024,0.94,0.28,0.13,45.31,0.46,0.10,5.00,154.86,1.00,82227.00,27816.00,0.05,42160.00,3.00,1314.00,49.00,0.32,5019.00,12.00,0.40,24.00,13703.00,1.76,0.81,82103.00,7262.00,5.51,4815.00,6140.00,0.06,3580.00,0.22,0.09
314.00,306286.43,3.00,313.00,754.19,2720.95,2944563.10,7577716.75,0.03,0.88,3.30,0.90,0.0024,0.59,0.17,0.13,43.36,0.65,0.11,7.00,127.94,1.00,106748.00,67350.00,0.12,34803.00,3.00,2602.00,59.00,0.21,4668.00,12.00,0.44,24.00,14324.00,3.12,0.60,107867.00,6496.00,8.73,3978.00,6244.00,0.04,4764.00,0.20,0.09
315.00,-189125.90,4.00,314.00,226.60,665.79,1245833.20,3185008.52,0.04,0.81,4.00,0.90,0.0024,0.82,0.28,0.05,51.81,0.68,0.08,2.00,151.13,1.00,87522.00,76691.00,0.15,38846.00,3.00,2865.00,52.00,0.29,5125.00,11.00,0.34,17.00,14130.00,1.77,0.87,88700.00,5615.00,8.52,5086.00,5455.00,0.05,4390.00,0.26,0.12
316.00,155349.18,4.00,315.00,453.43,1158.74,1746529.89,5901957.80,0.03,0.81,2.90,1.60,0.0024,0.73,0.24,0.13,45.65,0.43,0.09,5.00,163.84,1.00,126636.00,50938.00,0.19,53150.00,5.00,2801.00,61.00,0.15,5480.00,6.00,0.49,19.00,13282.00,3.20,0.90,93464.00,6119.00,7.61,5376.00,7063.00,0.05,3894.00,0.24,0.08
317.00,-246004.92,4.00,316.00,275.88,701.30,1168344.40,3714439.56,0.04,0.72,2.90,1.40,0.0026,0.77,0.25,0.12,49.64,0.53,0.10,4.00,159.88,1.00,75981.00,55024.00,0.14,31499.00,5.00,2218.00,59.00,0.23,4644.00,7.00,0.42,12.00,14659.00,1.57,0.63,102173.00,5861.00,8.55,4593.00,6555.00,0.05,5981.00,0.22,0.12
318.00,9677.48,4.00,317.00,267.26,838.35,1964641.06,5461280.44,0.04,0.81,3.70,1.50,0.0025,0.85,0.21,0.11,54.40,0.61,0.09,3.00,133.13,1.00,86466.00,66048.00,0.15,34997.00,2.00,2851.00,57.00,0.20,5430.00,11.00,0.48,17.00,14044.00,1.32,0.72,96742.00,5801.00,7.46,6286.00,6126.00,0.05,5260.00,0.31,0.10
319.00,264561.47,4.00,318.00,497.01,1100.29,1589609.14,6660489.15,0.04,0.82,2.70,1.10,0.0026,0.79,0.32,0.09,44.33,0.57,0.11,5.00,154.12,1.00,71333.00,42858.00,0.09,45551.00,4.00,2089.00,57.00,0.16,4290.00,9.00,0.30,30.00,15188.00,2.32,0.63,85676.00,5374.00,9.24,4775.00,6166.00,0.04,4855.00,0.26,0.12
320.00,-357017.91,4.00,319.00,205.23,632.14,1132296.78,2720863.38,0.04,0.82,2.70,1.20,0.0024,0.88,0.23,0.09,47.69,0.51,0.11,3.00,147.46,1.00,53500.00,42951.00,0.12,47197.00,5.00,3173.00,53.00,0.22,4777.00,10.00,0.65,19.00,17313.00,2.13,0.71,95406.00,5318.00,7.22,4468.00,4956.00,0.04,4701.00,0.33,0.15
321.00,345205.80,3.00,320.00,602.73,1094.41,1396842.80,7069744.31,0.03,0.86,3.20,1.30,0.0025,0.70,0.35,0.12,58.81,0.39,0.11,7.00,158.35,1.00,119019.00,50753.00,0.16,49815.00,2.00,3634.00,46.00,0.22,5216.00,8.00,0.55,21.00,15642.00,2.91,0.91,102555.00,5511.00,7.09,3754.00,5637.00,0.05,5156.00,0.21,0.09
322.00,51842.73,4.00,321.00,344.33,949.48,1423072.22,4115090.11,0.03,0.83,3.40,1.50,0.0024,0.69,0.31,0.04,49.69,0.51,0.09,3.00,144.38,1.00,126437.00,35171.00,0.19,36332.00,5.00,734.00,47.00,0.27,5081.00,8.00,0.51,18.00,14953.00,2.08,0.76,86317.00,6144.00,7.10,3717.00,6464.00,0.05,4221.00,0.20,0.12
323.00,-322790.14,4.00,322.00,254.88,476.42,534618.14,1684831.04,0.02,0.86,2.90,1.60,0.0023,0.66,0.34,0.12,51.66,0.37,0.11,3.00,166.71,1.00,102986.00,19592.00,0.11,29382.00,5.00,2607.00,56.00,0.21,4818.00,10.00,0.57,12.00,13932.00,2.63,0.68,102271.00,6125.00,5.00,5763.00,6175.00,0.05,5737.00,0.30,0.10
324.00,-494322.34,5.00,323.00,174.28,626.49,798078.96,1152098.78,0.04,0.70,2.70,0.90,0.0024,0.74,0.19,0.10,49.85,0.54,0.11,3.00,160.63,1.00,71101.00,68617.00,0.11,25581.00,6.00,3360.00,32.00,0.25,4480.00,9.00,0.42,10.00,15381.00,2.32,0.89,89195.00,5691.00,6.30,4816.00,7781.00,0.06,6245.00,0.23,0.08
325.00,-778339.52,9.00,324.00,-18.84,-46.05,-69219.88,-1793057.55,0.03,0.73,3.50,1.10,0.0025,0.73,0.26,0.12,48.99,0.48,0.12,0.00,157.91,1.00,88599.00,56855.00,0.13,42744.00,5.00,3550.00,50.00,0.16,5395.00,7.00,0.50,16.00,15708.00,2.95,0.82,89999.00,5634.00,6.07,5431.00,5785.00,0.05,5147.00,0.32,0.09
326.00,-154526.18,4.00,325.00,432.00,1275.16,1271492.89,3281975.16,0.03,0.90,2.10,1.00,0.0025,0.68,0.24,0.09,48.39,0.36,0.12,5.00,170.37,1.00,87943.00,58116.00,0.16,40444.00,4.00,2665.00,53.00,0.22,4346.00,14.00,0.47,23.00,16082.00,2.05,0.86,89862.00,6260.00,9.18,4212.00,4643.00,0.06,5060.00,0.27,0.11
327.00,-667957.71,9.00,326.00,29.65,81.01,80851.76,-891823.25,0.03,0.69,2.10,1.10,0.0024,0.69,0.25,0.10,50.99,0.59,0.09,2.00,141.91,1.00,71106.00,40559.00,0.16,36874.00,4.00,4107.00,47.00,0.19,5641.00,6.00,0.30,22.00,16283.00,3.41,0.74,93439.00,5241.00,5.27,3813.00,6896.00,0.05,4746.00,0.28,0.08
328.00,13411.71,4.00,327.00,336.73,795.15,1793667.25,7242986.69,0.06,0.82,2.90,1.00,0.0025,1.03,0.30,0.09,47.85,0.50,0.09,5.00,155.95,1.00,38177.00,40543.00,0.15,44797.00,5.00,3434.00,42.00,0.21,4459.00,8.00,0.58,30.00,16346.00,2.58,0.75,109691.00,5542.00,4.22,4163.00,6364.00,0.04,5390.00,0.20,0.10
329.00,-276460.94,4.00,328.00,305.87,746.13,970787.40,3002437.66,0.04,0.83,2.40,1.10,0.0027,0.74,0.28,0.10,46.93,0.62,0.13,3.00,147.38,1.00,92653.00,51075.00,0.11,30200.00,5.00,1726.00,51.00,0.23,4656.00,13.00,0.34,16.00,14604.00,1.40,0.64,108717.00,6319.00,5.32,4581.00,6398.00,0.05,5871.00,0.31,0.08
330.00,-411367.55,4.00,329.00,243.61,723.42,618212.54,994019.37,0.02,0.81,2.20,1.30,0.0025,0.54,0.23,0.10,49.77,0.45,0.10,4.00,142.04,1.00,78888.00,57166.00,0.11,14382.00,5.00,1990.00,39.00,0.34,4868.00,5.00,0.52,19.00,15443.00,2.37,0.67,90015.00,5922.00,5.01,5525.00,4597.00,0.05,4758.00,0.25,0.13
331.00,-493907.05,5.00,330.00,181.03,476.24,584638.36,838104.24,0.03,0.84,2.70,1.20,0.0026,0.67,0.29,0.07,43.66,0.38,0.12,3.00,157.50,1.00,99844.00,38773.00,0.13,28066.00,5.00,1930.00,49.00,0.24,4614.00,13.00,0.37,15.00,14079.00,2.96,0.62,114980.00,5930.00,4.25,6030.00,6014.00,0.05,5710.00,0.35,0.14
332.00,536361.78,3.00,331.00,598.52,1529.51,2591835.89,9457677.73,0.04,0.79,2.40,1.30,0.0024,0.89,0.24,0.13,55.28,0.67,0.07,5.00,151.20,1.00,131202.00,58190.00,0.18,42558.00,6.00,2273.00,60.00,0.27,4238.00,8.00,0.48,12.00,15027.00,1.16,0.69,87758.00,6695.00,8.00,4917.00,6933.00,0.04,4243.00,0.18,0.10
333.00,-401328.95,4.00,332.00,90.21,237.71,312107.77,-343970.38,0.03,0.91,3.40,1.50,0.0024,0.63,0.25,0.11,45.20,0.44,0.10,-1.00,167.80,1.00,139252.00,50353.00,0.13,44359.00,4.00,2449.00,65.00,0.21,5121.00,11.00,0.47,20.00,15746.00,2.23,0.64,83269.00,6591.00,3.15,4251.00,5634.00,0.05,6749.00,0.20,0.11
334.00,-78518.74,4.00,333.00,218.78,618.51,1622798.77,5046778.91,0.05,0.79,3.30,1.50,0.0026,0.94,0.26,0.08,50.96,0.41,0.09,4.00,128.33,1.00,70799.00,61064.00,0.18,43700.00,3.00,1487.00,50.00,0.22,5535.00,9.00,0.70,17.00,13923.00,1.87,0.83,85531.00,5656.00,5.45,5471.00,6671.00,0.05,6168.00,0.30,0.09
335.00,261751.42,3.00,334.00,437.64,1148.86,1998985.53,7010984.62,0.03,0.84,3.40,1.80,0.0025,0.71,0.28,0.08,48.41,0.70,0.08,3.00,179.18,1.00,99290.00,59625.00,0.15,38850.00,4.00,3087.00,64.00,0.22,4409.00,5.00,0.46,28.00,15957.00,3.07,0.76,91705.00,5783.00,5.51,5344.00,6306.00,0.05,5029.00,0.20,0.09
336.00,-624324.36,9.00,335.00,78.24,230.94,298967.62,-310132.62,0.03,0.81,2.90,1.60,0.0025,0.62,0.24,0.09,50.02,0.63,0.10,1.00,178.31,1.00,74089.00,43771.00,0.17,36699.00,3.00,2813.00,43.00,0.27,5197.00,9.00,0.56,21.00,13371.00,4.11,0.76,99816.00,6527.00,7.37,4657.00,5102.00,0.04,4032.00,0.25,0.16
337.00,-59892.21,4.00,336.00,318.17,722.16,1043888.11,3525885.03,0.03,0.86,3.10,1.60,0.0025,0.69,0.28,0.12,52.40,0.61,0.09,2.00,148.72,1.00,121846.00,50820.00,0.18,35338.00,3.00,3415.00,49.00,0.28,5570.00,9.00,0.48,26.00,14237.00,2.94,0.62,85128.00,6148.00,6.54,4014.00,4763.00,0.06,4955.00,0.25,0.08
338.00,17192.49,4.00,337.00,786.93,2067.24,1195381.79,3654023.64,0.01,0.90,2.90,1.10,0.0025,0.35,0.26,0.10,52.98,0.63,0.08,7.00,145.40,1.00,100045.00,50860.00,0.17,45512.00,5.00,2115.00,49.00,0.18,4830.00,9.00,0.63,23.00,13662.00,2.68,0.84,96872.00,5912.00,5.50,5368.00,5741.00,0.05,5151.00,0.30,0.07
339.00,1271661.96,3.00,338.00,611.63,1495.02,4000734.99,16933945.25,0.06,0.82,3.00,1.50,0.0025,1.02,0.26,0.12,44.18,0.56,0.10,7.00,133.90,1.00,78932.00,66656.00,0.16,52894.00,3.00,1412.00,46.00,0.30,5332.00,11.00,0.40,22.00,15617.00,2.11,0.79,79787.00,5338.00,4.08,5781.00,6396.00,0.05,4931.00,0.20,0.06
340.00,-211238.44,4.00,339.00,1010.26,1877.60,887428.40,3360319.71,0.01,0.86,3.20,1.20,0.0024,0.31,0.33,0.13,49.37,0.57,0.13,7.00,158.66,1.00,135109.00,41607.00,0.17,50550.00,5.00,3004.00,50.00,0.21,5208.00,3.00,0.71,20.00,14809.00,2.07,0.74,104795.00,6358.00,7.41,5003.00,5854.00,0.05,4499.00,0.36,0.10
341.00,-144244.84,4.00,340.00,296.55,618.15,924708.82,3390732.24,0.04,0.84,3.60,0.80,0.0025,0.79,0.38,0.06,46.57,0.28,0.10,5.00,153.38,1.00,109256.00,57853.00,0.14,60717.00,4.00,1020.00,55.00,0.20,5937.00,11.00,0.45,30.00,15360.00,1.42,0.79,93929.00,6231.00,8.09,4888.00,6298.00,0.05,6132.00,0.29,0.09
342.00,1768.13,4.00,341.00,332.03,906.90,1672635.87,4875067.46,0.05,0.85,1.70,1.60,0.0024,0.96,0.29,0.06,49.44,0.50,0.07,3.00,145.85,1.00,137200.00,65356.00,0.11,36843.00,5.00,2828.00,52.00,0.24,5350.00,13.00,0.56,21.00,16861.00,2.50,0.77,94901.00,5863.00,8.40,5283.00,5152.00,0.05,5327.00,0.31,0.10
343.00,232099.26,4.00,342.00,528.49,1308.18,2185319.58,8388152.23,0.04,0.83,2.70,1.10,0.0024,0.89,0.32,0.06,55.69,0.64,0.13,5.00,128.63,1.00,75351.00,65579.00,0.14,49524.00,5.00,2466.00,34.00,0.29,5309.00,13.00,0.57,15.00,14290.00,2.83,0.86,83434.00,6441.00,6.36,5985.00,7357.00,0.05,5083.00,0.23,0.08
344.00,-454917.68,4.00,343.00,174.46,1083.24,1778210.52,1894417.35,0.04,0.84,3.00,1.30,0.0025,0.70,0.11,0.10,46.77,0.50,0.10,3.00,135.09,1.00,68730.00,69949.00,0.15,41571.00,5.00,2026.00,65.00,0.24,4618.00,9.00,0.44,24.00,15568.00,1.94,0.79,106871.00,6550.00,5.84,5344.00,5165.00,0.05,4773.00,0.30,0.06
345.00,-95433.39,4.00,344.00,434.16,1128.32,1180865.03,3606066.06,0.03,0.82,1.50,1.60,0.0026,0.66,0.22,0.15,56.02,0.61,0.10,4.00,145.30,1.00,110776.00,52003.00,0.13,39713.00,3.00,810.00,49.00,0.22,5042.00,7.00,0.38,23.00,15447.00,2.77,0.64,100775.00,4787.00,6.61,5009.00,5961.00,0.04,3427.00,0.29,0.12
346.00,729443.23,3.00,345.00,810.71,2708.60,3944091.17,11190609.71,0.03,0.88,3.20,1.20,0.0025,0.69,0.22,0.08,49.43,0.70,0.07,6.00,156.68,1.00,128350.00,47328.00,0.18,53777.00,3.00,3349.00,48.00,0.24,5046.00,10.00,0.52,25.00,16378.00,3.55,0.80,101059.00,6788.00,5.40,4716.00,5452.00,0.05,6945.00,0.31,0.11
347.00,111132.19,4.00,346.00,339.74,1302.29,2388782.55,5427323.82,0.05,0.84,2.20,1.30,0.0025,0.89,0.16,0.13,36.94,0.46,0.12,4.00,138.12,1.00,110040.00,18650.00,0.12,48547.00,4.00,2331.00,55.00,0.25,5396.00,11.00,0.36,24.00,15111.00,1.59,0.69,100788.00,5442.00,6.21,4174.00,5258.00,0.05,4002.00,0.27,0.10
348.00,-229922.96,4.00,347.00,446.67,1091.14,786483.52,1970442.17,0.02,0.87,2.70,1.10,0.0024,0.49,0.29,0.09,49.46,0.55,0.10,4.00,118.78,1.00,119023.00,70359.00,0.18,37308.00,3.00,1943.00,48.00,0.28,5888.00,7.00,0.45,26.00,15557.00,2.32,0.66,94192.00,5645.00,5.79,4528.00,5404.00,0.05,5463.00,0.17,0.15
349.00,95651.93,4.00,348.00,463.70,1909.08,2264684.13,4441954.78,0.03,0.89,3.20,1.40,0.0025,0.54,0.16,0.11,44.32,0.49,0.05,6.00,136.95,1.00,111221.00,55207.00,0.16,37988.00,5.00,2702.00,49.00,0.28,5171.00,14.00,0.62,15.00,16073.00,2.60,0.78,101478.00,5630.00,5.91,5161.00,5521.00,0.05,4433.00,0.22,0.14
