,NPV,BE,Cash_Burn,Net_Con,CLV,Tot_CLV,EV,EV_Rev,MKTSH,Margin,Teach,Signup,Signup_CAGR,Ret,Buy_Class,Buy_Class_CAGR,Class_Price,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Misc,E_Dev,E_Course,E_Mod,E_Instr,E_IT,E_Staff,E_Market,E_BizDev,E_Other,E_Total
217.00,691875.78,3.00,373763.19,475.02,1297.77,3266962.35,11656879.75,5927795.99,0.05,0.87,3.40,0.30,0.88,0.25,0.63,0.10,142.83,2627.00,53.00,0.33,5025.00,10.00,0.72,16.00,4970.00,97500.00,10928.32,30954.00,76800.00,1360.47,193800.00,130213.29,25000.00,39177.42,605733.50
218.00,-156577.62,4.00,434128.07,512.84,1000.78,709473.82,2643363.32,2690518.55,0.02,0.88,3.10,0.30,0.38,0.35,0.66,0.10,147.93,1772.00,56.00,0.32,4747.00,9.00,0.54,17.00,5648.00,105000.00,15037.90,44842.06,125472.00,2612.35,399304.00,183090.56,60000.00,65294.83,1000653.69
219.00,-288639.60,4.00,533443.74,251.03,635.02,942226.40,2651803.55,3611711.12,0.04,0.67,2.90,0.31,0.66,0.27,0.53,0.10,142.11,2746.00,47.00,0.27,5239.00,5.00,0.35,18.00,4219.00,105000.00,23303.65,66271.25,205968.00,3057.25,399304.00,183822.24,60000.00,61233.59,1107959.99
220.00,235253.97,4.00,382493.93,474.63,1296.70,2006817.14,6666492.07,4071773.11,0.04,0.89,2.40,0.30,0.74,0.25,0.54,0.12,151.15,2058.00,57.00,0.28,4822.00,13.00,0.52,21.00,5889.00,105000.00,17465.01,45944.02,78648.00,2860.65,399304.00,183554.24,60000.00,66563.11,959339.02
221.00,342629.84,4.00,411878.96,296.24,595.11,1871620.30,8746790.90,5366480.05,0.08,0.80,2.50,0.29,1.17,0.34,0.45,0.07,150.91,1618.00,51.00,0.19,5290.00,10.00,0.52,21.00,4628.00,105000.00,13731.00,73069.71,94872.00,3311.73,399304.00,184754.34,60000.00,63044.95,997087.73
222.00,-394760.53,4.00,565931.53,126.91,333.38,806272.39,1932369.49,3440812.39,0.05,0.64,3.90,0.31,0.80,0.26,0.28,0.08,150.43,1726.00,47.00,0.23,5378.00,9.00,0.37,9.00,4797.00,105000.00,14647.53,91073.20,174144.00,3310.73,399304.00,185101.60,60000.00,60678.46,1093259.52
223.00,-155177.30,4.00,488662.23,324.87,853.42,1224918.02,3694165.79,3648116.86,0.04,0.75,2.30,0.30,0.72,0.26,0.49,0.12,150.97,2579.00,49.00,0.22,5136.00,8.00,0.46,12.00,4714.00,105000.00,21886.43,54490.91,142920.00,2614.14,399304.00,183424.85,60000.00,61159.87,1030800.19
224.00,823245.93,3.00,344551.67,638.08,1981.00,3891452.77,12283013.45,5899474.67,0.05,0.91,2.70,0.30,0.81,0.22,0.61,0.11,184.90,3443.00,50.00,0.31,5084.00,14.00,0.67,18.00,5526.00,97500.00,14322.88,31317.44,46200.00,1117.00,193800.00,129935.74,25000.00,40468.64,579661.70
225.00,-502848.70,4.00,671150.88,304.48,717.11,677194.89,1761673.97,3168656.73,0.02,0.68,3.70,0.29,0.43,0.29,0.47,0.14,181.09,2477.00,38.00,0.24,5382.00,2.00,0.56,19.00,5764.00,105000.00,21020.81,79498.60,347040.00,2722.77,399304.00,183477.31,60000.00,67027.67,1265091.15
226.00,136443.86,4.00,412517.51,372.16,907.83,1665203.04,6098378.34,4219070.70,0.04,0.82,2.80,0.28,0.83,0.28,0.45,0.11,164.95,1621.00,51.00,0.21,5410.00,15.00,0.37,14.00,3219.00,105000.00,13756.45,68434.34,94872.00,2861.24,399304.00,183895.09,60000.00,58069.96,986193.07
227.00,718707.83,3.00,349388.38,382.77,1244.95,3905902.16,11646564.55,6178114.74,0.07,0.84,3.60,0.31,0.94,0.21,0.50,0.08,160.93,3362.00,55.00,0.20,4387.00,11.00,0.50,21.00,5791.00,97500.00,13985.92,31586.40,46200.00,1358.55,193800.00,130377.37,25000.00,40815.51,580623.74
228.00,-99325.24,4.00,423868.80,463.38,1376.05,1263240.66,3268062.15,2814552.38,0.02,0.91,2.40,0.29,0.50,0.23,0.53,0.11,146.78,2734.00,52.00,0.28,4570.00,15.00,0.54,18.00,5368.00,105000.00,23201.82,38600.05,63048.00,2282.86,399304.00,182882.48,60000.00,61702.13,936021.33
229.00,7806.37,4.00,437826.81,334.78,737.61,1265191.98,4893302.80,3708309.57,0.04,0.83,3.00,0.31,0.74,0.31,0.51,0.12,122.25,1974.00,51.00,0.29,5231.00,12.00,0.44,18.00,5150.00,105000.00,16752.15,66170.06,94872.00,3246.63,399304.00,184142.39,60000.00,63154.75,992641.99
230.00,-317812.72,4.00,508311.20,197.57,449.81,694307.62,1934137.67,2693859.06,0.04,0.81,3.00,0.30,0.70,0.30,0.30,0.08,144.71,2134.00,48.00,0.17,4807.00,7.00,0.50,24.00,7007.00,105000.00,18109.98,66005.88,78648.00,2464.42,399304.00,183907.46,60000.00,64702.35,978142.09
231.00,439371.19,4.00,429151.64,334.68,1269.95,4014594.24,10167399.14,6251378.49,0.07,0.76,3.30,0.31,0.96,0.18,0.52,0.12,134.88,1604.00,41.00,0.26,5129.00,12.00,0.52,11.00,3971.00,105000.00,13612.19,97951.59,174144.00,4361.69,399304.00,185153.32,60000.00,65528.82,1105055.61
232.00,238719.44,4.00,374818.33,449.35,1023.05,1644619.89,6584367.57,4189800.94,0.04,0.86,3.20,0.30,0.70,0.30,0.51,0.13,155.03,927.00,54.00,0.26,5323.00,9.00,0.50,23.00,5212.00,105000.00,7866.89,67333.82,94872.00,3224.47,399304.00,184059.69,60000.00,66262.80,987923.67
233.00,324844.35,4.00,413237.56,288.62,857.08,2671793.76,8492264.01,5143267.38,0.07,0.82,3.00,0.28,1.07,0.23,0.40,0.09,149.34,137.00,56.00,0.30,5266.00,7.00,0.55,20.00,4334.00,105000.00,1162.64,67042.50,111096.00,3423.86,399304.00,184793.37,60000.00,61890.53,993712.90
234.00,420100.08,4.00,387026.59,409.81,902.93,2130329.97,9096758.14,5239299.74,0.06,0.84,2.80,0.30,0.94,0.31,0.49,0.12,153.83,3433.00,54.00,0.25,4925.00,12.00,0.38,22.00,4539.00,105000.00,29133.81,67626.16,94872.00,3411.69,399304.00,184471.26,60000.00,64575.06,1008393.99
235.00,-506936.86,5.00,574199.25,133.47,325.57,415153.08,423992.00,2328449.18,0.03,0.74,2.70,0.30,0.63,0.28,0.21,0.11,162.29,3003.00,51.00,0.26,5142.00,5.00,0.37,15.00,5883.00,112500.00,38996.53,100407.38,179236.80,4617.10,613028.16,233978.24,105000.00,86706.84,1474471.05
236.00,680661.34,3.00,362002.51,345.09,1386.47,4874148.77,11759012.70,6062292.80,0.08,0.87,3.00,0.31,1.05,0.17,0.42,0.09,158.18,3444.00,64.00,0.32,4363.00,9.00,0.52,22.00,5133.00,97500.00,14327.04,17975.56,46200.00,1162.77,193800.00,130225.83,25000.00,38021.95,564213.16
237.00,-60121.27,4.00,433805.94,388.06,855.01,1052155.42,3825776.74,3237379.06,0.03,0.85,3.00,0.30,0.60,0.31,0.50,0.10,152.68,2611.00,45.00,0.32,4960.00,12.00,0.32,22.00,4258.00,105000.00,22157.99,62742.02,94872.00,2759.60,399304.00,183619.07,60000.00,60486.27,990940.95
238.00,-15232.42,4.00,409203.28,472.40,1075.52,1131432.03,4009908.70,3092410.00,0.03,0.91,2.90,0.31,0.52,0.30,0.41,0.13,182.65,3404.00,46.00,0.30,4556.00,11.00,0.56,25.00,5479.00,105000.00,28887.71,52703.81,63048.00,2463.91,399304.00,183426.12,60000.00,63918.43,958751.98
239.00,-381455.62,4.00,479568.67,309.40,728.70,442089.46,729147.95,1908415.55,0.02,0.92,2.20,0.32,0.34,0.29,0.30,0.08,167.65,1538.00,49.00,0.26,4415.00,15.00,0.52,18.00,5705.00,105000.00,13052.08,37290.86,46824.00,1604.20,399304.00,182627.37,60000.00,58371.76,904074.27
240.00,253501.59,3.00,353824.62,510.07,1244.23,1742116.31,6419002.60,3985966.07,0.03,0.89,2.70,0.29,0.69,0.28,0.59,0.08,172.53,2637.00,60.00,0.28,5720.00,10.00,0.56,25.00,4005.00,97500.00,10969.92,23566.40,46200.00,993.64,193800.00,129830.01,25000.00,36117.97,563977.93
241.00,196993.79,4.00,418285.48,326.28,968.94,2229407.91,6784968.85,4475190.08,0.05,0.83,3.10,0.28,0.89,0.23,0.45,0.11,140.52,2428.00,64.00,0.20,5177.00,10.00,0.46,23.00,6746.00,105000.00,20604.98,54925.90,94872.00,3279.69,399304.00,184314.56,60000.00,69049.31,991350.43
242.00,692110.04,4.00,394885.86,378.43,1123.79,3879221.62,12832059.93,7116353.86,0.09,0.79,2.60,0.29,1.16,0.23,0.50,0.11,157.56,2294.00,61.00,0.21,4951.00,7.00,0.54,16.00,5767.00,105000.00,19467.80,57883.13,159144.00,3784.39,399304.00,184829.10,60000.00,70596.15,1060008.57
243.00,826321.25,3.00,351005.79,607.13,2182.52,4719224.82,12980798.59,6261703.29,0.06,0.89,2.10,0.29,0.94,0.19,0.69,0.12,154.27,2356.00,49.00,0.30,5065.00,12.00,0.58,21.00,4808.00,97500.00,9800.96,20867.80,46200.00,1019.64,193800.00,129756.99,25000.00,37784.63,561730.02
244.00,-282670.86,4.00,474226.25,265.34,697.05,729320.50,1745285.60,2389209.25,0.03,0.87,2.90,0.30,0.51,0.26,0.33,0.09,150.97,588.00,51.00,0.27,4520.00,10.00,0.56,15.00,5018.00,105000.00,4990.00,47586.56,78648.00,2192.58,399304.00,183307.20,60000.00,58254.78,939283.13
245.00,323191.60,4.00,422702.65,361.15,913.60,2333162.63,8644665.08,5246482.94,0.08,0.82,2.00,0.31,1.05,0.27,0.55,0.11,130.36,2507.00,52.00,0.20,5896.00,9.00,0.53,25.00,5220.00,105000.00,21275.40,68931.32,94872.00,3272.87,399304.00,184133.77,60000.00,64565.09,1001354.45
246.00,-45979.70,4.00,405814.83,388.45,1061.27,1234116.17,3654440.31,3122226.42,0.03,0.85,3.30,0.29,0.53,0.25,0.63,0.09,125.12,600.00,60.00,0.32,5954.00,10.00,0.39,23.00,4792.00,105000.00,5091.84,56243.87,94872.00,3074.65,399304.00,183519.69,60000.00,62485.28,969591.32
247.00,213782.19,4.00,402310.65,305.53,772.89,1883359.49,6740892.32,4363015.57,0.05,0.84,3.70,0.28,0.88,0.27,0.55,0.07,119.77,1728.00,57.00,0.29,4432.00,8.00,0.59,22.00,5008.00,105000.00,14664.50,56063.03,111096.00,3849.99,399304.00,184778.75,60000.00,64834.74,999591.01
248.00,1861570.80,3.00,357688.58,345.19,906.80,6747188.86,26456064.26,11993692.72,0.17,0.82,3.00,0.31,1.57,0.26,0.54,0.11,121.98,2385.00,52.00,0.24,4221.00,11.00,0.50,25.00,6044.00,97500.00,9921.60,30391.20,46200.00,1481.72,193800.00,130536.92,25000.00,40660.00,575491.44
249.00,1078998.92,3.00,350043.05,455.18,1943.07,6760462.23,15847964.41,7933755.38,0.07,0.82,3.50,0.29,1.02,0.16,0.62,0.08,162.31,3286.00,44.00,0.23,5083.00,11.00,0.47,20.00,5859.00,97500.00,13669.76,36597.60,61800.00,1416.99,193800.00,130281.29,25000.00,41993.25,602058.89
250.00,-75993.63,4.00,434289.90,461.27,1211.74,1223249.79,3678172.21,3125611.24,0.02,0.87,2.90,0.31,0.48,0.26,0.58,0.12,142.81,3263.00,41.00,0.30,5137.00,15.00,0.55,12.00,4884.00,105000.00,27691.12,64981.00,94872.00,2811.88,399304.00,183318.02,60000.00,62913.74,1000891.76
251.00,-120995.99,4.00,444115.64,241.38,499.59,915094.50,3423620.49,3019181.51,0.05,0.87,2.70,0.30,0.83,0.33,0.29,0.09,150.68,2092.00,59.00,0.30,4842.00,11.00,0.46,28.00,4541.00,105000.00,17753.55,46134.58,46824.00,2477.79,399304.00,184048.67,60000.00,57246.61,918789.20
252.00,175414.02,4.00,385479.68,339.17,772.20,1542727.75,5981952.30,3905020.50,0.04,0.88,4.00,0.29,0.75,0.30,0.43,0.10,143.20,2640.00,56.00,0.26,3959.00,15.00,0.43,21.00,5014.00,105000.00,22404.10,54361.82,78648.00,3483.68,399304.00,184707.91,60000.00,64327.31,972236.82
253.00,-227905.42,4.00,482137.58,321.17,756.43,839108.78,2453551.77,2760789.24,0.02,0.85,3.20,0.29,0.54,0.29,0.37,0.11,163.42,3527.00,49.00,0.25,4818.00,8.00,0.53,18.00,4510.00,105000.00,29931.53,55734.62,94872.00,2403.24,399304.00,183483.91,60000.00,58785.00,989514.31
254.00,371966.79,4.00,382532.17,483.06,1137.71,2104483.75,8331073.49,4941830.89,0.04,0.84,3.30,0.29,0.77,0.29,0.62,0.12,145.72,3309.00,49.00,0.26,5056.00,9.00,0.50,21.00,5800.00,105000.00,28081.50,69424.95,126696.00,3672.20,399304.00,184233.15,60000.00,70670.54,1047082.34
255.00,-63646.96,4.00,433135.25,398.38,850.32,1020682.98,3860836.83,3109134.93,0.03,0.89,3.10,0.29,0.60,0.32,0.44,0.14,143.38,2088.00,50.00,0.27,4496.00,9.00,0.69,19.00,5887.00,105000.00,17719.60,47333.89,78648.00,2635.36,399304.00,183584.40,60000.00,63967.48,958192.74
256.00,-82447.86,4.00,549984.85,232.57,610.96,1691219.01,5556118.79,4621049.15,0.07,0.73,2.50,0.30,1.04,0.26,0.42,0.12,123.77,2792.00,59.00,0.30,4215.00,3.00,0.56,25.00,4845.00,105000.00,23694.03,44719.46,205968.00,3256.90,399304.00,184492.05,60000.00,61351.98,1087786.42
257.00,-172740.60,4.00,452148.86,317.60,903.87,1084446.22,2751735.98,2840044.92,0.03,0.85,2.80,0.30,0.57,0.24,0.46,0.08,142.35,2997.00,40.00,0.24,4670.00,11.00,0.49,23.00,5315.00,105000.00,25433.74,64124.70,63048.00,2546.05,399304.00,183399.51,60000.00,61541.49,964397.50
258.00,211700.04,4.00,472122.84,445.73,1790.80,3324710.97,7699660.29,5205222.84,0.04,0.76,3.10,0.30,0.71,0.17,0.66,0.13,141.88,1723.00,42.00,0.30,5874.00,8.00,0.55,12.00,5344.00,105000.00,14622.07,80657.07,237792.00,3834.78,399304.00,184013.84,60000.00,70183.82,1155407.57
259.00,-205805.85,4.00,469217.47,298.29,783.60,949094.38,2557661.67,3004287.16,0.03,0.79,3.40,0.30,0.53,0.26,0.49,0.08,148.09,2524.00,58.00,0.19,5417.00,8.00,0.36,18.00,4820.00,105000.00,21419.67,62889.20,126696.00,2870.07,399304.00,183687.31,60000.00,62122.42,1023988.68
260.00,544695.70,3.00,352683.69,506.22,1152.53,2349704.10,9879246.74,5715923.08,0.05,0.81,2.70,0.30,0.87,0.30,0.67,0.09,166.52,2562.00,45.00,0.21,4278.00,15.00,0.46,10.00,4745.00,97500.00,10657.92,26352.48,61800.00,1161.58,193800.00,129968.09,25000.00,38734.44,584974.51
261.00,-144940.62,4.00,549607.78,255.52,727.17,1635980.86,4779936.60,5027249.00,0.05,0.63,2.80,0.30,0.88,0.24,0.54,0.11,143.49,3827.00,57.00,0.29,4612.00,7.00,0.37,11.00,5493.00,105000.00,32477.45,48931.48,270240.00,3501.46,399304.00,184285.04,60000.00,67569.77,1171309.21
262.00,-135442.17,4.00,398170.34,452.18,1143.86,876290.65,2432457.76,2558937.20,0.02,0.90,3.10,0.32,0.34,0.27,0.54,0.08,160.52,2240.00,43.00,0.23,4535.00,12.00,0.51,24.00,4609.00,105000.00,19009.54,57365.94,63048.00,2537.29,399304.00,183151.37,60000.00,61355.26,950771.38
263.00,250093.59,4.00,403477.18,413.99,764.21,1481335.72,7397085.48,4586157.43,0.06,0.84,2.00,0.32,0.93,0.37,0.52,0.12,147.58,1660.00,53.00,0.23,5010.00,11.00,0.50,17.00,4521.00,105000.00,14087.42,53154.10,94872.00,2915.24,399304.00,183914.18,60000.00,62041.04,975287.99
264.00,297098.93,4.00,402442.53,381.08,1626.75,3616311.31,7848594.60,4942186.77,0.06,0.81,2.40,0.30,0.88,0.16,0.49,0.11,156.22,2594.00,53.00,0.25,4758.00,10.00,0.34,21.00,5327.00,105000.00,22013.72,50480.48,111096.00,3145.68,399304.00,183931.59,60000.00,65887.33,1000858.79
265.00,-276475.02,4.00,530925.13,171.36,532.02,1205383.43,2751288.43,3292237.62,0.05,0.75,2.90,0.29,0.88,0.22,0.23,0.11,162.93,3391.00,42.00,0.26,4850.00,7.00,0.36,21.00,5309.00,105000.00,28777.38,71842.08,94872.00,2593.79,399304.00,184246.19,60000.00,59679.83,1006315.28
266.00,-147393.13,4.00,492023.40,266.30,649.59,1123180.84,3592753.22,3569344.64,0.03,0.76,4.00,0.29,0.67,0.28,0.44,0.10,141.17,3005.00,37.00,0.27,4728.00,7.00,0.42,19.00,5806.00,105000.00,25501.63,80065.84,142920.00,3343.29,399304.00,184427.66,60000.00,66198.64,1066761.07
267.00,553009.70,4.00,394283.21,363.51,800.91,2528876.65,11054705.85,6313759.63,0.08,0.80,2.80,0.29,1.12,0.31,0.56,0.09,141.75,3063.00,62.00,0.30,5380.00,10.00,0.47,15.00,5492.00,105000.00,25993.84,57079.65,142920.00,3882.88,399304.00,184908.71,60000.00,69180.92,1048269.99
268.00,-116009.93,4.00,447232.61,262.17,1053.33,1737605.74,3378349.31,2967130.20,0.04,0.88,2.50,0.31,0.70,0.17,0.27,0.13,153.11,1444.00,56.00,0.25,4814.00,13.00,0.66,23.00,5754.00,105000.00,12254.36,45867.79,46824.00,2379.93,399304.00,183625.91,60000.00,60737.48,915993.47
269.00,220112.85,4.00,449596.55,230.48,524.74,1952776.24,7775632.64,5234901.06,0.08,0.78,3.70,0.31,1.07,0.30,0.37,0.09,135.04,4214.00,46.00,0.22,5168.00,9.00,0.61,19.00,5621.00,105000.00,35761.69,98696.40,94872.00,4147.52,399304.00,185987.79,60000.00,66939.90,1050709.30
270.00,727004.34,3.00,331846.99,568.75,1494.10,3008865.70,11202962.59,5698668.43,0.05,0.88,3.20,0.30,0.79,0.26,0.65,0.12,155.38,1214.00,50.00,0.31,4773.00,11.00,0.57,19.00,5464.00,97500.00,5050.24,29401.68,46200.00,1284.41,193800.00,130090.28,25000.00,40432.25,568758.87
271.00,-159209.70,4.00,534499.62,259.47,656.38,1350885.12,4397589.36,4391954.91,0.05,0.68,2.70,0.30,0.86,0.27,0.46,0.13,140.84,2670.00,58.00,0.22,5581.00,8.00,0.44,10.00,4841.00,105000.00,22658.69,59212.18,205968.00,3137.59,399304.00,184137.09,60000.00,62837.17,1102254.71
272.00,119025.45,4.00,438522.98,336.75,605.27,1246309.44,6162863.03,4477032.60,0.05,0.78,3.10,0.30,0.87,0.38,0.52,0.10,142.91,2197.00,49.00,0.24,4726.00,8.00,0.38,20.00,4927.00,105000.00,18644.62,64893.65,142920.00,3409.59,399304.00,184517.45,60000.00,64974.94,1043664.25
273.00,417090.05,4.00,389545.28,475.40,1082.36,2214053.06,9227339.11,5434427.47,0.06,0.82,2.30,0.30,0.92,0.30,0.53,0.14,163.29,2461.00,39.00,0.27,4176.00,9.00,0.45,18.00,5936.00,105000.00,20885.03,61858.25,111096.00,3118.06,399304.00,183952.55,60000.00,69106.31,1014320.21
274.00,148984.33,4.00,428748.35,470.74,1891.32,2880330.32,6506753.35,4925129.30,0.04,0.73,2.20,0.29,0.73,0.17,0.64,0.14,161.43,1545.00,39.00,0.19,5248.00,6.00,0.39,19.00,4670.00,105000.00,13111.49,72061.34,159144.00,2971.05,399304.00,183278.18,60000.00,65496.53,1060366.59
275.00,481880.12,4.00,373566.17,309.70,1175.16,3911221.23,9810807.42,6066598.67,0.08,0.77,2.70,0.29,1.10,0.18,0.61,0.07,124.89,2427.00,60.00,0.23,5384.00,11.00,0.28,25.00,4151.00,105000.00,20596.49,62945.42,111096.00,4053.24,399304.00,184742.34,60000.00,64214.82,1011952.32
276.00,-155482.68,4.00,468268.86,231.75,633.15,1196743.07,3395815.56,3144978.19,0.04,0.83,3.30,0.29,0.76,0.25,0.28,0.10,157.55,1890.00,53.00,0.26,5890.00,11.00,0.43,23.00,4663.00,105000.00,16039.30,74506.14,63048.00,2699.43,399304.00,184201.77,60000.00,58652.91,963451.55
277.00,-469346.65,5.00,646346.28,194.78,429.15,706315.69,2058569.91,3836749.85,0.04,0.59,2.30,0.29,0.83,0.31,0.61,0.15,102.04,2872.00,38.00,0.21,4379.00,3.00,0.46,25.00,4640.00,112500.00,37295.38,128900.38,490237.44,7823.42,613028.16,234883.97,105000.00,95348.44,1825017.19
278.00,-436441.35,4.00,525482.57,200.90,571.74,572649.85,762320.38,2166179.60,0.03,0.84,2.00,0.31,0.56,0.24,0.30,0.06,149.51,3398.00,38.00,0.19,4344.00,10.00,0.43,20.00,4506.00,105000.00,28836.79,54949.86,63048.00,1793.24,399304.00,182910.88,60000.00,54654.41,950497.18
279.00,218297.35,4.00,417687.37,316.35,831.04,2060792.22,7152618.95,5202106.28,0.05,0.74,3.40,0.31,0.86,0.26,0.53,0.09,148.46,2260.00,51.00,0.25,5708.00,7.00,0.34,21.00,5135.00,105000.00,19179.26,84551.46,159144.00,3958.96,399304.00,184885.40,60000.00,68719.95,1084743.03
280.00,201430.36,4.00,396301.32,361.04,795.46,1585830.24,6465075.46,4315738.49,0.04,0.83,3.70,0.29,0.78,0.31,0.48,0.11,146.11,2228.00,44.00,0.23,4861.00,11.00,0.42,22.00,4802.00,105000.00,18907.70,77060.46,94872.00,3519.04,399304.00,184579.56,60000.00,64920.78,1008163.55
281.00,-289694.52,4.00,495705.49,298.88,785.15,855932.18,2077887.68,2707963.18,0.03,0.83,1.90,0.28,0.67,0.26,0.42,0.09,151.53,4322.00,47.00,0.23,5474.00,10.00,0.38,21.00,5076.00,105000.00,36678.22,52156.27,63048.00,1927.90,399304.00,182840.52,60000.00,58363.64,959318.56
282.00,-262039.38,4.00,441843.57,270.07,636.07,613251.45,1556250.16,2228284.14,0.02,0.90,3.50,0.30,0.44,0.29,0.31,0.05,170.76,643.00,48.00,0.23,4553.00,11.00,0.52,25.00,4671.00,105000.00,5456.76,57593.63,46824.00,2241.99,399304.00,183487.52,60000.00,57707.33,917615.23
283.00,40721.08,4.00,395483.03,484.53,1741.79,1925083.73,4458774.37,3376044.76,0.03,0.87,3.10,0.29,0.49,0.19,0.62,0.12,139.06,3028.00,56.00,0.23,5321.00,10.00,0.44,29.00,6362.00,105000.00,25696.82,56019.49,78648.00,2982.25,399304.00,183286.90,60000.00,68389.57,979327.03
284.00,342075.68,4.00,388917.41,353.45,1207.06,2970348.16,8089308.17,4849597.02,0.05,0.84,3.30,0.29,0.87,0.20,0.42,0.10,163.97,2452.00,57.00,0.22,5177.00,12.00,0.48,21.00,4451.00,105000.00,20808.65,71086.42,94872.00,3433.87,399304.00,184554.90,60000.00,63935.91,1002995.75
285.00,1218749.38,3.00,337785.74,530.32,1646.42,5203063.90,16876809.80,7786204.78,0.07,0.88,3.40,0.31,0.97,0.22,0.64,0.13,142.16,3183.00,53.00,0.26,5694.00,13.00,0.54,27.00,5476.00,97500.00,13241.28,35075.04,46200.00,1485.32,193800.00,130324.51,25000.00,40898.06,583524.21
286.00,264748.20,3.00,326364.85,518.91,1181.41,1514245.06,5998540.97,3711024.31,0.03,0.91,3.20,0.31,0.58,0.30,0.59,0.10,157.07,453.00,54.00,0.35,4573.00,13.00,0.49,27.00,6406.00,97500.00,1884.48,23413.76,30600.00,1154.26,193800.00,130007.24,25000.00,41429.56,544789.30
287.00,53389.20,4.00,473654.20,234.64,763.15,2255764.83,6113107.20,4655831.81,0.08,0.76,2.30,0.30,1.08,0.21,0.41,0.10,127.82,2512.00,45.00,0.22,4738.00,8.00,0.40,25.00,5369.00,105000.00,21317.84,75307.67,94872.00,3174.20,399304.00,184408.77,60000.00,62720.14,1006104.61
288.00,-153880.33,4.00,459811.35,306.96,655.17,908979.57,3309349.37,3260494.75,0.04,0.79,2.20,0.31,0.73,0.32,0.42,0.12,149.84,1371.00,51.00,0.22,5283.00,8.00,0.45,16.00,4802.00,105000.00,11634.85,50336.42,94872.00,2412.13,399304.00,183465.86,60000.00,59671.97,966697.24
289.00,-121581.67,4.00,478592.50,270.54,739.12,1310761.31,3803033.74,3541036.55,0.04,0.78,2.90,0.32,0.72,0.25,0.42,0.10,141.66,3031.00,55.00,0.28,4728.00,6.00,0.42,21.00,5709.00,105000.00,25722.28,54890.19,126696.00,3030.92,399304.00,184111.57,60000.00,64386.41,1023141.36
290.00,-316536.90,4.00,531000.23,173.30,394.56,778060.63,2237532.92,3194792.14,0.04,0.72,3.30,0.30,0.79,0.30,0.39,0.06,128.69,3613.00,56.00,0.21,5423.00,6.00,0.40,21.00,4993.00,105000.00,30661.36,74464.30,126696.00,3042.35,399304.00,184425.30,60000.00,60582.69,1044176.00
291.00,254477.82,4.00,396452.82,295.09,650.16,1758296.98,7243066.09,4548921.52,0.07,0.84,2.60,0.31,1.02,0.31,0.55,0.06,118.00,2935.00,56.00,0.25,5074.00,17.00,0.41,27.00,4866.00,105000.00,24907.58,64598.11,63048.00,3588.06,399304.00,184662.31,60000.00,63116.02,968224.09
292.00,-36968.87,4.00,430424.68,378.92,1078.37,1440747.45,4134462.34,3307881.69,0.03,0.86,3.00,0.30,0.60,0.24,0.44,0.09,170.80,2750.00,50.00,0.24,6067.00,9.00,0.54,22.00,4368.00,105000.00,23337.60,76745.12,78648.00,2701.28,399304.00,183619.07,60000.00,60967.81,990322.88
293.00,-249397.69,4.00,476233.64,271.41,741.51,906869.29,2222850.01,2699557.07,0.03,0.83,2.80,0.29,0.60,0.25,0.38,0.08,151.23,2727.00,53.00,0.25,5423.00,10.00,0.47,17.00,3433.00,105000.00,23142.41,57093.34,78648.00,2332.30,399304.00,183382.17,60000.00,54408.03,963310.26
294.00,657137.43,3.00,358103.57,472.99,1404.60,3354946.47,10924044.82,5888912.50,0.05,0.84,3.60,0.29,0.84,0.23,0.54,0.11,168.65,2959.00,37.00,0.21,5579.00,16.00,0.57,21.00,5394.00,97500.00,12309.44,45970.96,46200.00,1274.59,193800.00,130201.62,25000.00,40159.49,592416.10
295.00,219276.63,4.00,418341.26,419.23,987.37,1810003.36,7004667.04,4837219.24,0.04,0.78,3.80,0.29,0.72,0.29,0.60,0.11,152.72,2402.00,46.00,0.28,5504.00,9.00,0.40,15.00,4855.00,105000.00,20384.33,75576.52,189744.00,3830.16,399304.00,184451.90,60000.00,68937.47,1107228.39
296.00,151058.79,4.00,434530.02,393.75,896.45,1673906.93,6594922.03,4327520.05,0.05,0.84,2.40,0.30,0.86,0.30,0.45,0.14,151.32,3122.00,53.00,0.27,5066.00,10.00,0.52,17.00,6262.00,105000.00,26494.54,53748.23,94872.00,2855.53,399304.00,183876.22,60000.00,66806.56,992957.10
297.00,185877.29,4.00,372645.43,464.16,1132.23,1657118.11,6082747.61,4014126.28,0.04,0.86,2.60,0.31,0.69,0.28,0.55,0.11,159.83,1658.00,56.00,0.26,5185.00,9.00,0.48,20.00,4939.00,105000.00,14070.45,49402.68,94872.00,2959.21,399304.00,183676.80,60000.00,64828.76,974113.89
298.00,107930.84,4.00,405276.47,392.45,765.85,1255401.41,5632666.93,4262998.74,0.04,0.78,3.00,0.29,0.77,0.35,0.63,0.08,151.29,2369.00,58.00,0.18,4971.00,9.00,0.39,16.00,5396.00,105000.00,20104.28,52740.32,142920.00,3267.10,399304.00,183998.95,60000.00,67668.22,1035002.88
